SupplierCode|ProductCode|SupplierPartNumber|ProductName|Description|UnitPrice|Currency|UOM|LeadTimeDays|MinOrderQty|PackSize|EffectiveDate|ExpirationDate|Status
SUP041|PROD000001|SP-TON-BLA-5506|Drum Unit|High quality drum unit compatible with multiple printer models|71.61|USD|GAL|54|50|1|2025-08-20|2025-12-31|Discontinued
SUP028|PROD000002|SP-INK-BLA-2535|Drum Unit|High quality drum unit compatible with multiple printer models|74.39|USD|LT|19|100|50|2025-08-20|2025-12-31|Inactive
SUP015|PROD000003|SP-MEM-TRI-1106|Print Head|High quality print head compatible with multiple printer models|211.24|CAD|KG|16|5|10|2025-08-20|2025-12-31|Active
SUP006|PROD000004|SP-PAP-CYA-6881|Transfer Belt|High quality transfer belt compatible with multiple printer models|183.49|USD|GAL|36|50|1|2025-08-20|2025-12-31|Inactive
SUP006|PROD000005|SP-CIR-TRI-6925|Motor|High quality motor compatible with multiple printer models|62.52|USD|EA|49|5|10|2025-08-20|2025-12-31|Active
SUP015|PROD000006|SP-TON-LIG-5554|Memory|High quality memory compatible with multiple printer models|192.88|CAD|SET|30|10|5|2025-08-20|2025-12-31|Discontinued
SUP018|PROD000007|SP-TON-MAG-9751|Drum Unit|High quality drum unit compatible with multiple printer models|54.03|GBP|KG|47|100|50|2025-08-20|2025-12-31|Active
SUP044|PROD000008|SP-TRA-BLA-4752|Photo Black Ink Cartridge|High quality photo black ink cartridge compatible with multiple printer models|123.93|USD|SET|43|100|10|2025-08-20|2025-12-31|Active
SUP042|PROD000009|SP-MEM-LIG-8517|Print Head|High quality print head compatible with multiple printer models|83.86|EUR|GAL|42|50|10|2025-08-20|2025-12-31|Discontinued
SUP038|PROD000010|SP-PAP-LIG-6930|Drum Unit|High quality drum unit compatible with multiple printer models|299.2|EUR|LT|38|1|1|2025-08-20|2025-12-31|Active
SUP010|PROD000011|SP-PRI-LIG-2040|Paper Tray|High quality paper tray compatible with multiple printer models|118.19|GBP|LT|23|50|1|2025-08-20|2025-12-31|Discontinued
SUP047|PROD000012|SP-TON-TRI-6573|Tri-Color Toner Cartridge|High quality tri-color toner cartridge compatible with multiple printer models|133.81|GBP|EA|53|100|10|2025-08-20|2025-12-31|Discontinued
